artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aretha Franklin,"Young, Gifted and Black",0.479,0.295,5,-12.556,1,0.0459,0.857,4.63e-05,0.466,0.396,91.044,audio_features,5dcm217docwRMX29EbAhxl,spotify:track:5dcm217docwRMX29EbAhxl,https://api.spotify.com/v1/tracks/5dcm217docwRMX29EbAhxl,https://api.spotify.com/v1/audio-analysis/5dcm217docwRMX29EbAhxl,214227,3
Rapsody,Laila’s Wisdom,0.417,0.737,5,-7.188,1,0.336,0.23,4.85e-05,0.467,0.355,165.183,audio_features,1EzniRQ6UM9Y5xGrmfqCgy,spotify:track:1EzniRQ6UM9Y5xGrmfqCgy,https://api.spotify.com/v1/tracks/1EzniRQ6UM9Y5xGrmfqCgy,https://api.spotify.com/v1/audio-analysis/1EzniRQ6UM9Y5xGrmfqCgy,194720,4
Aretha Franklin,Spirit in the Dark,0.557,0.498,5,-9.094,1,0.11,0.406,0,0.148,0.793,132.274,audio_features,1wGvueGYFPUmQUtVglgcPt,spotify:track:1wGvueGYFPUmQUtVglgcPt,https://api.spotify.com/v1/tracks/1wGvueGYFPUmQUtVglgcPt,https://api.spotify.com/v1/audio-analysis/1wGvueGYFPUmQUtVglgcPt,243827,4
Kanye West,School Spirit,0.483,0.787,5,-5.422,0,0.21,0.339,0,0.236,0.592,84.81,audio_features,1th3G3okofWlvGWAAR7Y4V,spotify:track:1th3G3okofWlvGWAAR7Y4V,https://api.spotify.com/v1/tracks/1th3G3okofWlvGWAAR7Y4V,https://api.spotify.com/v1/audio-analysis/1th3G3okofWlvGWAAR7Y4V,182387,4
Aretha Franklin,One Step Ahead,0.384,0.206,0,-11.961,0,0.0319,0.826,0,0.553,0.667,170.172,audio_features,0dSRoWYf0GOzX9L44g53sZ,spotify:track:0dSRoWYf0GOzX9L44g53sZ,https://api.spotify.com/v1/tracks/0dSRoWYf0GOzX9L44g53sZ,https://api.spotify.com/v1/audio-analysis/0dSRoWYf0GOzX9L44g53sZ,153600,4
Mos Def,Ms. Fat Booty,0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,audio_features,0IVAlb0cFCH1cQ974iR1TU,spotify:track:0IVAlb0cFCH1cQ974iR1TU,https://api.spotify.com/v1/tracks/0IVAlb0cFCH1cQ974iR1TU,https://api.spotify.com/v1/audio-analysis/0IVAlb0cFCH1cQ974iR1TU,223547,4
Aretha Franklin,Rock Steady,0.749,0.752,7,-10.3,1,0.126,0.0108,0.0954,0.235,0.887,104.7,audio_features,7rvGZDlfqCjY9EWEUg3Xs6,spotify:track:7rvGZDlfqCjY9EWEUg3Xs6,https://api.spotify.com/v1/tracks/7rvGZDlfqCjY9EWEUg3Xs6,https://api.spotify.com/v1/audio-analysis/7rvGZDlfqCjY9EWEUg3Xs6,193573,4
Outkast,Jazzy Belle,0.878,0.65,11,-8.08,0,0.252,0.0178,0,0.0408,0.101,92.03,audio_features,6w4MlvpuxtbjGdL9YeTx89,spotify:track:6w4MlvpuxtbjGdL9YeTx89,https://api.spotify.com/v1/tracks/6w4MlvpuxtbjGdL9YeTx89,https://api.spotify.com/v1/audio-analysis/6w4MlvpuxtbjGdL9YeTx89,251667,4
Aretha Franklin,Call Me,0.517,0.375,7,-11.527,1,0.0341,0.682,1.28e-06,0.458,0.306,118.391,audio_features,1JEFsHZxUy24AvyC49GKVj,spotify:track:1JEFsHZxUy24AvyC49GKVj,https://api.spotify.com/v1/tracks/1JEFsHZxUy24AvyC49GKVj,https://api.spotify.com/v1/audio-analysis/1JEFsHZxUy24AvyC49GKVj,237067,3
Slum Village,Selfish,0.71,0.597,7,-6.468,1,0.239,0.221,0,0.432,0.49,95.769,audio_features,7sZCAHP2duHwr5M5K7lHsb,spotify:track:7sZCAHP2duHwr5M5K7lHsb,https://api.spotify.com/v1/tracks/7sZCAHP2duHwr5M5K7lHsb,https://api.spotify.com/v1/audio-analysis/7sZCAHP2duHwr5M5K7lHsb,225400,4
