artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Philanthrope,Slopes,0.784,0.0908,11,-15.483,0,0.0895,0.878,0.902,0.093,0.0955,74.987,audio_features,0dizD5AU7xMTttvrK9QWnD,spotify:track:0dizD5AU7xMTttvrK9QWnD,https://api.spotify.com/v1/tracks/0dizD5AU7xMTttvrK9QWnD,https://api.spotify.com/v1/audio-analysis/0dizD5AU7xMTttvrK9QWnD,179201,3
Harris Cole,Rosewood,0.561,0.364,10,-10.767,1,0.245,0.782,0.847,0.141,0.141,129.759,audio_features,6F0ky02XB2sZsiMl2tVuxm,spotify:track:6F0ky02XB2sZsiMl2tVuxm,https://api.spotify.com/v1/tracks/6F0ky02XB2sZsiMl2tVuxm,https://api.spotify.com/v1/audio-analysis/6F0ky02XB2sZsiMl2tVuxm,162462,4
Nokiaa,All Us,0.439,0.291,3,-10.665,0,0.204,0.0244,0.641,0.358,0.397,39.97,audio_features,5TdKQtQXE6lPJfYhi59lAZ,spotify:track:5TdKQtQXE6lPJfYhi59lAZ,https://api.spotify.com/v1/tracks/5TdKQtQXE6lPJfYhi59lAZ,https://api.spotify.com/v1/audio-analysis/5TdKQtQXE6lPJfYhi59lAZ,129000,4
Melodiesinfonie,Morning Glory,0.722,0.175,0,-11.256,0,0.0474,0.929,0.617,0.0931,0.213,84.995,audio_features,1NYB0pmtnBykL3aID8y4sy,spotify:track:1NYB0pmtnBykL3aID8y4sy,https://api.spotify.com/v1/tracks/1NYB0pmtnBykL3aID8y4sy,https://api.spotify.com/v1/audio-analysis/1NYB0pmtnBykL3aID8y4sy,210750,4
Blue Wednesday,Middle School,0.778,0.442,6,-13.244,0,0.118,0.445,0.819,0.243,0.934,155.649,audio_features,6CELFLbg9kgByIRpZ33fY8,spotify:track:6CELFLbg9kgByIRpZ33fY8,https://api.spotify.com/v1/tracks/6CELFLbg9kgByIRpZ33fY8,https://api.spotify.com/v1/audio-analysis/6CELFLbg9kgByIRpZ33fY8,144000,4
B-Side,Patience,0,0.348,2,-9.576,0,0,0.419,0.89,0.0996,0,0,audio_features,103TY6JB85hp9huSTFI6dB,spotify:track:103TY6JB85hp9huSTFI6dB,https://api.spotify.com/v1/tracks/103TY6JB85hp9huSTFI6dB,https://api.spotify.com/v1/audio-analysis/103TY6JB85hp9huSTFI6dB,216031,0
Oatmello,No Way Back,0.536,0.325,4,-11.783,0,0.0532,0.902,0.952,0.114,0.185,170.118,audio_features,70SfQj2pVrfqgE4wvnIcwV,spotify:track:70SfQj2pVrfqgE4wvnIcwV,https://api.spotify.com/v1/tracks/70SfQj2pVrfqgE4wvnIcwV,https://api.spotify.com/v1/audio-analysis/70SfQj2pVrfqgE4wvnIcwV,101647,4
Loupo,1993,0.362,0.729,2,-8.23,1,0.135,0.531,0.928,0.104,0.441,78.205,audio_features,5Tizlon28ZKyqep1TuB1F3,spotify:track:5Tizlon28ZKyqep1TuB1F3,https://api.spotify.com/v1/tracks/5Tizlon28ZKyqep1TuB1F3,https://api.spotify.com/v1/audio-analysis/5Tizlon28ZKyqep1TuB1F3,153708,1
Sugi.wa,Je T'aime,0.591,0.419,6,-15.445,0,0.105,0.598,0.909,0.0916,0.797,75.927,audio_features,7uqRFlTZQ7vL1YKGSWmu7h,spotify:track:7uqRFlTZQ7vL1YKGSWmu7h,https://api.spotify.com/v1/tracks/7uqRFlTZQ7vL1YKGSWmu7h,https://api.spotify.com/v1/audio-analysis/7uqRFlTZQ7vL1YKGSWmu7h,76500,4
Sleepy Fish,Fall's Echoes,0.478,0.483,11,-10.506,1,0.0665,0.198,0.923,0.127,0.362,168.856,audio_features,6e9PEl2mvN7I9sflyuBfv8,spotify:track:6e9PEl2mvN7I9sflyuBfv8,https://api.spotify.com/v1/tracks/6e9PEl2mvN7I9sflyuBfv8,https://api.spotify.com/v1/audio-analysis/6e9PEl2mvN7I9sflyuBfv8,158000,3
